Date, Open, High, Low, Close
06/14/16, 17710.77, 17733.92, 17595.79, 17674.82
06/13/16, 17830.50, 17893.28, 17731.35, 17732.48
06/10/16, 17938.82, 17938.82, 17812.34, 17865.34
06/09/16, 17969.98, 18005.22, 17915.88, 17985.19
06/08/16, 17931.91, 18016.00, 17931.91, 18005.05
06/07/16, 17936.22, 18003.23, 17936.22, 17938.28
06/06/16, 17825.69, 17949.68, 17822.81, 17920.33
06/03/16, 17799.80, 17833.17, 17689.68, 17807.06
06/02/16, 17789.05, 17838.56, 17703.55, 17838.56
06/01/16, 17754.55, 17809.18, 17664.79, 17789.67
05/31/16, 17891.50, 17899.24, 17724.03, 17787.20
05/27/16, 17826.85, 17873.22, 17824.73, 17873.22
05/26/16, 17859.52, 17888.66, 17803.82, 17828.29
05/25/16, 17735.09, 17891.71, 17735.09, 17851.51
05/24/16, 17525.19, 17742.59, 17525.19, 17706.05
05/23/16, 17507.04, 17550.70, 17480.05, 17492.93
05/20/16, 17437.32, 17571.75, 17437.32, 17500.94
05/19/16, 17514.16, 17514.16, 17331.07, 17435.40
05/18/16, 17501.28, 17636.22, 17418.21, 17526.62
05/17/16, 17701.46, 17701.46, 17469.92, 17529.98
05/16/16, 17531.76, 17755.80, 17531.76, 17710.71
05/13/16, 17711.12, 17734.74, 17512.48, 17535.32
05/12/16, 17722.01, 17798.19, 17625.38, 17720.50
05/11/16, 17919.03, 17919.03, 17711.05, 17711.12
05/10/16, 17726.66, 17934.61, 17726.66, 17928.35
05/09/16, 17743.85, 17783.16, 17668.38, 17705.91
05/06/16, 17650.30, 17744.54, 17580.38, 17740.63
05/05/16, 17664.48, 17736.11, 17615.82, 17660.71
05/04/16, 17735.02, 17738.06, 17609.01, 17651.26
05/03/16, 17870.75, 17870.75, 17670.88, 17750.91
05/02/16, 17783.78, 17912.35, 17773.71, 17891.16
04/29/16, 17813.09, 17814.83, 17651.98, 17773.64
04/28/16, 18023.88, 18035.73, 17796.55, 17830.76
04/27/16, 17996.14, 18084.66, 17920.26, 18041.55
04/26/16, 17987.38, 18043.77, 17934.17, 17990.32
04/25/16, 17990.94, 17990.94, 17855.55, 17977.24
04/22/16, 17985.05, 18026.85, 17909.89, 18003.75
04/21/16, 18092.84, 18107.29, 17963.89, 17982.52
04/20/16, 18059.49, 18167.63, 18031.21, 18096.27
04/19/16, 18012.10, 18103.46, 17984.43, 18053.60
04/18/16, 17890.20, 18009.53, 17848.22, 18004.16
04/15/16, 17925.95, 17937.65, 17867.41, 17897.46
04/14/16, 17912.25, 17962.14, 17885.44, 17926.43
04/13/16, 17741.66, 17918.35, 17741.66, 17908.28
04/12/16, 17571.34, 17744.43, 17553.57, 17721.25
04/11/16, 17586.48, 17731.63, 17555.90, 17556.41
04/08/16, 17555.39, 17694.51, 17528.16, 17576.96
04/07/16, 17687.28, 17687.28, 17484.23, 17541.96
04/06/16, 17605.45, 17723.55, 17542.54, 17716.05
04/05/16, 17718.03, 17718.03, 17579.56, 17603.32
04/04/16, 17799.39, 17806.38, 17710.67, 17737.00
04/01/16, 17661.74, 17811.48, 17568.02, 17792.75
03/31/16, 17716.05, 17755.70, 17669.72, 17685.09
03/30/16, 17652.36, 17790.11, 17652.36, 17716.66
03/29/16, 17512.58, 17642.81, 17434.27, 17633.11
03/28/16, 17526.08, 17583.81, 17493.03, 17535.39
03/24/16, 17485.33, 17517.14, 17399.01, 17515.73
03/23/16, 17588.81, 17588.81, 17486.27, 17502.59
03/22/16, 17602.71, 17648.94, 17540.42, 17582.57
03/21/16, 17589.70, 17644.97, 17551.28, 17623.87
03/18/16, 17481.49, 17620.58, 17481.49, 17602.30
03/17/16, 17321.38, 17529.01, 17297.65, 17481.49
03/16/16, 17249.34, 17379.18, 17204.07, 17325.76
03/15/16, 17217.15, 17251.70, 17120.35, 17251.53
03/14/16, 17207.49, 17275.07, 17161.16, 17229.13
03/11/16, 17014.99, 17220.09, 17014.99, 17213.31
03/10/16, 17006.05, 17130.11, 16821.86, 16995.13
